,TOP_RGB,BOTTOM_RGB,path
0,"(90, 90, 100)","(166, 179, 183)",businesscasual_images/1_0.webp
1,"(138, 127, 135)","(51, 65, 76)",businesscasual_images/1_1.webp
2,"(103, 107, 128)","(109, 115, 135)",businesscasual_images/1_2.webp
3,"(80, 85, 108)","(125, 141, 165)",businesscasual_images/1_3.webp
4,"(91, 96, 109)","(169, 111, 126)",businesscasual_images/1_4.webp
5,"(100, 85, 83)","(77, 71, 70)",businesscasual_images/1_5.webp
6,"(78, 74, 81)","(72, 68, 75)",businesscasual_images/1_6.webp
7,"(123, 114, 96)","(178, 150, 118)",businesscasual_images/1_7.webp
8,"(64, 65, 72)","(48, 48, 53)",businesscasual_images/1_9.webp
9,"(48, 50, 53)","(21, 24, 29)",businesscasual_images/1_10.webp
10,"(56, 55, 69)","(34, 45, 65)",businesscasual_images/1_11.webp
