,TOP_RGB,BOTTOM_RGB,path
35,"(173, 164, 175)","(127, 106, 105)",street_images/1_35.webp
36,"(49, 47, 54)","(144, 147, 170)",street_images/1_36.webp
37,"(142, 164, 198)","(157, 152, 161)",street_images/1_37.webp
39,"(173, 123, 147)","(140, 133, 140)",street_images/1_39.webp
40,"(93, 120, 157)","(51, 86, 139)",street_images/1_40.webp
41,"(212, 212, 227)","(152, 155, 155)",street_images/1_41.webp
42,"(94, 68, 91)","(53, 77, 106)",street_images/1_42.webp
43,"(58, 56, 55)","(120, 134, 150)",street_images/1_43.webp
44,"(49, 48, 40)","(22, 19, 23)",street_images/1_44.webp
45,"(55, 42, 36)","(191, 162, 144)",street_images/1_45.webp
47,"(75, 67, 71)","(208, 171, 173)",street_images/1_47.webp
48,"(137, 139, 140)","(86, 86, 87)",street_images/1_48.webp
49,"(134, 132, 148)","(112, 118, 129)",street_images/1_49.webp
50,"(148, 168, 211)","(143, 146, 161)",street_images/1_50.webp
51,"(88, 104, 96)","(152, 162, 191)",street_images/1_51.webp
52,"(120, 101, 94)","(124, 95, 73)",street_images/1_52.webp
53,"(229, 222, 220)","(161, 157, 154)",street_images/1_53.webp
54,"(51, 45, 47)","(39, 42, 48)",street_images/1_54.webp
55,"(166, 157, 159)","(149, 134, 137)",street_images/1_55.webp
56,"(176, 160, 148)","(191, 173, 159)",street_images/1_56.webp
57,"(147, 80, 87)","(93, 88, 85)",street_images/1_57.webp
58,"(43, 48, 55)","(161, 163, 177)",street_images/1_58.webp
59,"(117, 137, 161)","(50, 50, 48)",street_images/1_59.webp
60,"(196, 192, 193)","(59, 54, 54)",street_images/2_0.webp
61,"(124, 122, 128)","(84, 51, 59)",street_images/2_1.webp
62,"(76, 78, 84)","(61, 62, 65)",street_images/2_2.webp
63,"(89, 80, 79)","(34, 28, 26)",street_images/2_3.webp
65,"(151, 132, 128)","(161, 135, 121)",street_images/2_5.webp
66,"(95, 89, 88)","(139, 124, 117)",street_images/2_6.webp
67,"(80, 77, 68)","(44, 35, 31)",street_images/2_7.webp
68,"(109, 115, 126)","(63, 60, 67)",street_images/2_8.webp
69,"(154, 163, 171)","(92, 103, 105)",street_images/2_9.webp
70,"(100, 130, 130)","(126, 133, 124)",street_images/2_10.webp
71,"(146, 144, 139)","(117, 124, 129)",street_images/2_11.webp
72,"(148, 150, 160)","(130, 110, 111)",street_images/2_12.webp
73,"(96, 113, 132)","(149, 143, 141)",street_images/2_13.webp
75,"(57, 56, 63)","(15, 14, 16)",street_images/2_15.webp
77,"(230, 215, 202)","(14, 18, 22)",street_images/2_17.webp
78,"(106, 97, 96)","(180, 164, 153)",street_images/2_18.webp
79,"(49, 49, 57)","(88, 81, 76)",street_images/2_19.webp
80,"(127, 131, 129)","(145, 134, 125)",street_images/2_20.webp
81,"(213, 218, 221)","(143, 143, 147)",street_images/2_21.webp
82,"(146, 148, 156)","(94, 86, 79)",street_images/2_22.webp
83,"(202, 200, 211)","(77, 75, 72)",street_images/2_23.webp
84,"(181, 169, 170)","(188, 182, 200)",street_images/2_24.webp
85,"(52, 54, 62)","(58, 58, 65)",street_images/2_25.webp
86,"(121, 114, 114)","(72, 70, 74)",street_images/2_26.webp
89,"(165, 169, 169)","(66, 67, 73)",street_images/2_29.webp
90,"(87, 78, 81)","(115, 113, 117)",street_images/2_30.webp
91,"(186, 47, 50)","(57, 50, 46)",street_images/2_31.webp
92,"(83, 82, 82)","(88, 48, 42)",street_images/2_32.webp
93,"(167, 174, 164)","(162, 157, 154)",street_images/2_33.webp
94,"(134, 123, 115)","(92, 86, 83)",street_images/2_34.webp
95,"(173, 164, 175)","(127, 106, 105)",street_images/2_35.webp
96,"(49, 47, 54)","(144, 147, 170)",street_images/2_36.webp
