,TOP_RGB,BOTTOM_RGB,path
497,"(63, 65, 74)","(125, 129, 133)",amecaji_images/9_25.webp
498,"(67, 60, 59)","(65, 75, 93)",amecaji_images/9_26.webp
499,"(118, 140, 169)","(122, 135, 162)",amecaji_images/9_27.webp
500,"(129, 117, 107)","(96, 92, 84)",amecaji_images/9_28.webp
502,"(60, 87, 131)","(89, 136, 179)",amecaji_images/9_30.webp
503,"(61, 60, 54)","(163, 131, 96)",amecaji_images/9_31.webp
504,"(99, 102, 91)","(107, 97, 88)",amecaji_images/9_32.webp
505,"(21, 45, 76)","(135, 105, 85)",amecaji_images/9_34.webp
506,"(76, 81, 94)","(68, 74, 88)",amecaji_images/9_35.webp
507,"(80, 84, 105)","(49, 52, 69)",amecaji_images/9_36.webp
508,"(39, 38, 41)","(30, 30, 33)",amecaji_images/9_37.webp
509,"(52, 56, 62)","(66, 66, 71)",amecaji_images/9_38.webp
510,"(60, 70, 68)","(46, 52, 54)",amecaji_images/9_39.webp
511,"(114, 76, 48)","(143, 114, 94)",amecaji_images/9_40.webp
512,"(111, 101, 97)","(174, 153, 132)",amecaji_images/9_41.webp
513,"(46, 67, 96)","(68, 74, 95)",amecaji_images/9_42.webp
514,"(80, 71, 74)","(45, 84, 137)",amecaji_images/9_43.webp
515,"(56, 56, 60)","(47, 46, 47)",amecaji_images/9_44.webp
516,"(93, 88, 93)","(94, 88, 91)",amecaji_images/9_45.webp
517,"(55, 74, 104)","(89, 103, 123)",amecaji_images/9_46.webp
518,"(91, 106, 135)","(140, 156, 188)",amecaji_images/9_47.webp
519,"(109, 97, 95)","(147, 143, 151)",amecaji_images/9_48.webp
520,"(92, 92, 104)","(78, 119, 156)",amecaji_images/9_49.webp
521,"(75, 76, 87)","(75, 79, 89)",amecaji_images/9_50.webp
522,"(87, 107, 141)","(97, 106, 131)",amecaji_images/9_51.webp
523,"(77, 71, 70)","(105, 97, 104)",amecaji_images/9_52.webp
524,"(49, 52, 65)","(84, 81, 87)",amecaji_images/9_53.webp
525,"(49, 53, 62)","(92, 82, 78)",amecaji_images/9_54.webp
